0.25,9,10,3435461889200389192,zombies,275
0.25,9,16,7052869773973945923,human,242
0.25,9,14,3895413436406309182,zombies,490
0.25,9,20,4583793120752946707,human,393
0.25,9,18,553638390321801448,human,202
0.25,9,9,1217974703569429817,zombies,755
0.25,9,17,8921238257477644925,zombies,356
0.25,9,15,5603704116133347251,human,635
0.25,9,19,2753425677075423102,zombies,467
0.25,9,22,7331565921526732642,zombies,339
0.25,12,0,2229605416414653337,human,225
0.25,9,24,3877682175307393657,zombies,346
0.25,12,1,7192403084353017545,zombies,656
0.25,9,21,1927203753210294996,human,347
0.25,9,23,7365407543720089607,human,346
0.25,12,5,69576544731736774,human,90
0.25,12,3,3880856368833882457,human,281
0.25,12,2,4189541659939572055,zombies,496
0.25,12,6,4380141719119148857,human,552
0.25,12,8,3694018893662901298,zombies,403
0.25,12,4,7735132639032480533,human,289
0.25,12,7,5068348290188142892,zombies,255
0.25,12,11,2609821661681407570,human,117
0.25,12,9,4788658496876327515,human,225
0.25,12,10,5020584515436223293,human,327
0.25,12,16,3312367850624546093,zombies,358
0.25,12,17,5089324274940131952,zombies,518
0.25,12,14,1141279729911223221,human,224
0.25,12,18,8906131437382679524,human,615
0.25,12,20,1279555479020389931,zombies,156
0.25,12,12,4075626278191786368,human,899
0.25,12,19,6440708705392841730,zombies,360
0.25,12,22,6289371599000438563,zombies,243
0.25,12,13,5640335742419931577,zombies,915
0.35,0,0,11784489047978310,human,88
0.35,0,1,4961245956191943761,human,140
0.35,0,3,6404258714623841186,human,45
0.25,12,24,355500336505469255,human,442
0.25,12,15,5029124132708286728,human,849
0.35,0,2,727380496365426079,human,98
0.25,12,21,7035699725564216730,zombies,487
0.35,0,4,7247983261167768514,human,119
0.35,0,5,7001237568868723293,zombies,277
0.35,0,7,8183297673442856650,human,126
0.25,12,23,8710349718131739667,human,568
0.35,0,10,3286795070356210300,human,121
0.35,0,8,2600937761784012784,human,154
0.35,0,15,6713223957525466544,human,34
0.35,0,9,7334971231446905654,human,193
0.35,0,6,4093074696422641345,human,192
0.35,0,18,3789102341277690337,human,39
0.35,0,16,424845760270443769,human,80
0.35,0,13,3284485367041441214,zombies,546
0.35,0,12,1114917311430692607,human,195
0.35,0,14,2502849443873020260,human,171
0.35,0,22,4612211005339491494,human,70
0.35,0,19,8675987422222111420,human,196
